Kunnat, Lapua, Lapualla
Kunnat, Laukaa, Laukaassa
Kunnat, Lemi, Lemillä
Kunnat, Lemland, Lemlandissa
Kunnat, Lempäälä, Lempäälässä
Kunnat, Leppävirta, Leppävirralla, Leppävirroilla
Kunnat, Lestijärvi, Lestijärvellä
Kunnat, Lieksa, Lieksassa
Kunnat, Lieto, Liedossa
Kunnat, Liminka, Limingassa
Kunnat, Liperi, Liperissä
Kunnat, Lohja, Lohjalla
Kunnat, Loimaa, Loimaalla
Kunnat, Loppi, Lopella
Kunnat, Loviisa, Loviisassa
Kunnat, Luhanka, Luhangassa
Kunnat, Lumijoki, Lumijoella
Kunnat, Lumparland, Lumparlandissa
Kunnat, Luoto, Luodossa
Kunnat, Luumäki, Luumäellä
Kunnat, Maalahti, Maalahdessa
Kunnat, Maarianhamina, Maarianhaminassa
Kunnat, Marttila, Marttilassa
Kunnat, Masku, Maskussa
Kunnat, Merijärvi, Merijärvellä
Kunnat, Merikarvia, Merikarvialla
Kunnat, Miehikkälä, Miehikkälässä
Kunnat, Mikkeli, Mikkelissä
Kunnat, Muhos, Muhoksella
Kunnat, Multia, Multialla
Kunnat, Muonio, Muoniossa
Kunnat, Mustasaari, Mustasaaressa
Kunnat, Muurame, Muuramessa, Muuramea  
Kunnat, Mynämäki, Mynämäessä, Mynämäellä
Kunnat, Myrskylä, Myrskylässä
Kunnat, Mäntsälä, Mäntsälässä
Kunnat, Mänttä-Vilppula, Mänttä-Vilppulassa
Kunnat, Mäntyharju, Mäntyharjussa, Mäntyharjulla
Kunnat, Naantali, Naantalissa
Kunnat, Nakkila, Nakkilassa
Kunnat, Nivala, Nivalassa
Kunnat, Nokia, Nokialla, Nokiassa
Kunnat, Nousiainen, Nousiaisissa
Kunnat, Nurmes, Nurmeksessa
Kunnat, Nurmijärvi, Nurmijärvellä
Kunnat, Närpiö, Närpiössä
Kunnat, Orimattila, Orimattilassa
Kunnat, Oripää, Oripäässä
Kunnat, Orivesi, Orivedellä
Kunnat, Oulainen, Oulaisissa
Kunnat, Oulu, Oulussa
Kunnat, Outokumpu, Outokummussa
Kunnat, Padasjoki, Padasjoella
Kunnat, Paimio, Paimiossa
Kunnat, Paltamo, Paltamossa
Kunnat, Parainen, Paraisilla
Kunnat, Parikkala, Parikkalassa
Kunnat, Parkano, Parkanossa
Kunnat, Pedersören kunta, Pedersören kunnassa
Kunnat, Pelkosenniemi, Pelkosenniemellä
Kunnat, Pello, Pellossa
Kunnat, Perho, Perhossa
Kunnat, Pertunmaa, Pertunmaalla
Kunnat, Petäjävesi, Petäjävedellä
Kunnat, Pieksämäki, Pieksämäellä, Pieksämäessä
Kunnat, Pielavesi, Pielavedellä
Kunnat, Pietarsaari, Pietarsaaressa
Kunnat, Pihtipudas, Pihtiputaalla
Kunnat, Pirkkala, Pirkkalassa
Kunnat, Polvijärvi, Polvijärvellä
Kunnat, Pomarkku, Pomarkussa
Kunnat, Pori, Porissa
Kunnat, Pornainen, Pornaisissa
Kunnat, Porvoo, Porvoossa, Porvooseen
Kunnat, Posio, Posiolla
Kunnat, Pudasjärvi, Pudasjärvellä
Kunnat, Pukkila, Pukkilassa
Kunnat, Punkalaidun, Punkalaitumella
Kunnat, Puolanka, Puolangalla
Kunnat, Puumala, Puumalassa
Kunnat, Pyhtää, Pyhtäällä
Kunnat, Pyhäjoki, Pyhäjoella
Kunnat, Pyhäjärvi, Pyhäjärvellä
